paper_id;author_id;author_sequence_number
271214;2000415444;1
271214;2572028590;2
1216968;2103945787;1
1216968;2155380330;3
1216968;2506879740;2
1405581;2344591298;1
1467391;2204913924;1
1467391;2206745903;2
2004025;2338063915;4
2004025;2338995952;3
2004025;2340820710;5
2004025;2341778378;1
2004025;2720885569;2
2076915;2169494745;1
2076915;2568658526;2
2180906;2142675487;1
2180906;2167880352;2
2610877;1278008176;2
2610877;2091794408;1
2701911;2130338591;2
2701911;2670908859;1
4002263;2435413560;2
4002263;2490818334;1
4082439;2396889371;1
5160421;175204660;2
5160421;2159960587;1
5315797;1041509233;2
5315797;2103672260;1
7251676;317661935;1
7251676;2144317754;2
7388428;2147301409;1
8090500;979021430;4
8090500;1837758571;2
8090500;1965032571;5
8090500;2145985750;1
8090500;2162757406;3
10793571;2030918767;4
10793571;2038232653;3
10793571;2131895190;1
10793571;2295012499;2
12123458;2007006921;1
12123458;2708065166;2
12401806;285281174;3
12401806;1421354932;1
12401806;2020984307;2
12401806;2237445521;6
12401806;2309205381;5
12401806;2590423291;4
13108582;2096701220;3
13108582;2114227441;2
13108582;2691549286;1
14451407;339283459;1
14451407;1959366934;3
14451407;2114804379;2
14451407;2130938194;4
14566539;2145726188;2
14566539;2590819054;1
14689263;2123613258;1
15819877;99198979;1
15819877;1719961615;2
15819877;2288791643;3
16075311;725715580;1
16291250;1980552014;4
16291250;2004764041;5
16291250;2028665853;8
16291250;2069631324;1
16291250;2112828039;6
16291250;2158313802;10
16291250;2302587688;3
16291250;2311150117;2
16291250;2480401328;9
16291250;2482662727;7
16460110;2057080714;3
17321979;1975388259;1
18036193;68183369;1
18036193;186291408;2
19002002;1944408781;1
19002002;2049361035;3
19002002;2470318504;2
19021466;699335812;23
19021466;1239001225;12
19021466;1831721248;11
19021466;1868837856;19
19021466;1963582242;13
19021466;1976040817;27
19021466;1976040817;27
19021466;1996517351;3
19021466;2004307921;10
19021466;2007427721;26
19021466;2016120689;18
19021466;2025200268;1
19021466;2072752767;22
19021466;2072752767;22
19021466;2091311874;4
19021466;2122657693;7
19021466;2148615961;6
19021466;2153499114;20
19021466;2153603212;16
19021466;2163437328;24
19021466;2163689351;17
19021466;2172714633;25
19021466;2207669000;5
19021466;2275308848;14
19021466;2422323739;15
19021466;2433215632;8
19021466;2632695972;28
19021466;2635286540;2
19021466;2714387382;21
19021466;2798323220;9
20838624;2662960385;2
20838624;2677320579;1
21064061;96854432;4
21064061;1120675264;3
21064061;2125165963;1
21064061;2408374372;2
22356529;1981489249;1
22356529;2508706917;2
23249656;427168275;3
23249656;1980299076;1
23249656;1981394639;4
23249656;2021832793;2
23377630;165310314;7
23377630;307740072;4
23377630;2034196914;3
23377630;2083926454;6
23377630;2083926454;6
23377630;2175384922;1
23377630;2479471069;2
23377630;2479647944;5
23558477;2104837019;1
23558477;2106197859;2
23558477;2164149751;3
24177566;2804555554;1
24715588;2145075537;1
25891542;1575075415;2
25891542;2111670702;3
25891542;2406871514;1
26167130;2021337721;4
26167130;2094015407;2
26167130;2636758715;3
26167130;2670908859;1
26417372;2168513090;2
26417372;2175384922;1
26417372;2801248034;3
26511544;2171686011;1
27162936;2098520675;2
27162936;2103517249;1
27251319;71283037;3
27251319;71283037;3
27251319;1966615522;4
27251319;1966615522;4
27251319;2109530099;2
27251319;2120354901;1
27251319;2131084071;5
27251319;2131084071;5
27517327;796384270;1
27517327;2162154572;2
29233054;2069093409;2
29233054;2255766898;1
29689368;99485367;4
29689368;1970786884;2
29689368;2289217796;3
29689368;2336561490;1
30230766;2308031644;3
30230766;2521216937;4
30230766;2521342048;1
30230766;2523522253;2
30272708;1975420916;2
30272708;2303752410;1
30867053;1671919652;1
31887350;2113857198;2
31887350;2156488067;1
32243143;2061564364;1
33486875;1833644239;2
33486875;2056495649;1
33486875;2083449707;3
33930902;171306905;2
33930902;1242455599;3
33930902;2305199092;1
34164315;2059013996;1
37183307;484591262;1
37183307;1979943451;3
37183307;2621185743;2
37443425;276335343;3
37443425;2174812656;1
37443425;2299857669;2
38827618;1208949056;1
38827618;2229316332;3
38827618;2606388398;2
39161393;2697706138;2
39161393;2721454676;1
40255214;106486015;6
40255214;2003855179;4
40255214;2092243331;1
40255214;2109725072;3
40255214;2115799059;2
40255214;2145836886;5
40541319;2286314806;6
40698406;2159967235;1
40698406;2847014137;2
41599584;146521700;1
41599584;2023677657;2
41599584;2102185534;3
44034722;2422921870;1
44109443;2803919413;1
44278235;2427412989;1
44278235;2475385918;2
44278235;2478154344;4
44278235;2480391113;3
44730206;1982848548;3
44730206;2079399547;5
44730206;2096762221;7
44730206;2112234008;6
44730206;2135193452;1
44730206;2442393198;2
44730206;2778943060;4
45590150;2123613258;1
47408822;86518048;1
50407163;61315105;4
50407163;2081275814;1
50407163;2101618183;2
50407163;2157076242;3
51516846;622592698;4
51516846;2149779945;3
51516846;2633113098;2
51516846;2667497640;1
52682698;1714486270;3
52682698;2119382952;2
52682698;2225240255;4
52682698;2652172073;1
52991497;2108786129;2
52991497;2653683864;1
53760091;2333790900;1
53760091;2641336469;2
54285672;2242086647;1
54362019;259760861;2
54362019;2499789377;1
55561746;2311978535;2
55561746;2641282084;3
55561746;2664716391;1
55561746;2710463654;4
57047430;2617119859;1
57047430;2618959356;2
57047430;2806098325;4
57047430;2806473211;3
57456335;2096651303;2
57456335;2174342055;1
58341941;2025313218;2
58341941;2167574874;1
58412127;2684605016;1
58604923;2653000351;2
58604923;2665029993;1
59901395;2652861036;2
59901395;2658473157;1
61264161;2475451076;7
61264161;2486870950;6
61264161;2486956935;4
61264161;2493830422;5
61264161;2496868636;1
61264161;2497890732;3
61264161;2505796577;2
63326921;2104027424;2
63326921;2114146760;1
63326921;2148072643;4
63326921;2472696040;5
63326921;2667458731;3
63994157;2026118764;2
63994157;2236505780;1
64676700;1969811432;1
66063792;1149095254;1
66063792;2153267098;2
66859088;1937599472;2
66859088;2160872338;1
66965484;2303597396;1
67373889;2129607598;2
67373889;2495399568;3
67373889;2517798193;1
68226462;297590392;1
68226462;2304493726;3
68226462;2434879743;2
68371345;2059445978;1
68548015;2127733850;3
68548015;2436453499;2
68548015;2637162067;1
69290063;101394528;1
69290063;2162588803;2
72145384;384813227;3
72145384;2599270190;2
72145384;2718524056;1
72235530;2157216860;1
72953241;1826463484;4
72953241;1969810782;3
72953241;2622092922;1
72953241;2689512569;2
73285738;2141708087;1
73285738;2480667609;2
73593153;1991559784;1
73593153;2158935544;2
73829092;45124013;2
73829092;2431320518;1
73829092;2431320518;1
73829092;2632438226;3
74220513;291081294;1
74220513;2087808894;3
74220513;2100324971;2
74220513;2113332747;8
74220513;2558921914;5
74220513;2633004153;4
74220513;2698075467;6
74220513;2881911397;7
74224785;729957853;1
74277147;2152596491;2
74277147;2661911287;1
74670350;25845525;2
74670350;292299716;1
74670350;2136401455;3
74708109;2133068152;1
74708109;2894208757;3
